39.995855,116.466793,39.991818,116.464459,39.988538,116.467144,39.989295,116.472163,39.993331,116.474497,39.996611,116.471813
39.998378,116.459088,39.994341,116.456754,39.991061,116.459440,39.991818,116.464459,39.995855,116.466793,39.999135,116.464108
39.991061,116.459440,39.987025,116.457106,39.983745,116.459791,39.984502,116.464810,39.988538,116.467144,39.991818,116.464459
39.988538,116.467144,39.984502,116.464810,39.981223,116.467494,39.981979,116.472512,39.986015,116.474847,39.989295,116.472163
39.993331,116.474497,39.989295,116.472163,39.986015,116.474847,39.986771,116.479864,39.990807,116.482199,39.994086,116.479516
40.000647,116.474147,39.996611,116.471813,39.993331,116.474497,39.994086,116.479516,39.998122,116.481851,40.001402,116.479167
40.003171,116.466443,39.999135,116.464108,39.995855,116.466793,39.996611,116.471813,40.000647,116.474147,40.003927,116.471463
40.005696,116.458736,40.001659,116.456402,39.998378,116.459088,39.999135,116.464108,40.003171,116.466443,40.006452,116.463757
40.000902,116.451381,39.996865,116.449047,39.993584,116.451734,39.994341,116.456754,39.998378,116.459088,40.001659,116.456402
39.993584,116.451734,39.989547,116.449400,39.986268,116.452086,39.987025,116.457106,39.991061,116.459440,39.994341,116.456754
39.986268,116.452086,39.982231,116.449753,39.978951,116.452439,39.979709,116.457458,39.983745,116.459791,39.987025,116.457106
39.983745,116.459791,39.979709,116.457458,39.976430,116.460143,39.977187,116.465161,39.981223,116.467494,39.984502,116.464810
39.981223,116.467494,39.977187,116.465161,39.973908,116.467845,39.974664,116.472862,39.978700,116.475196,39.981979,116.472512
39.986015,116.474847,39.981979,116.472512,39.978700,116.475196,39.979456,116.480213,39.983492,116.482547,39.986771,116.479864
39.990807,116.482199,39.986771,116.479864,39.983492,116.482547,39.984247,116.487565,39.988282,116.489900,39.991562,116.487217
39.998122,116.481851,39.994086,116.479516,39.990807,116.482199,39.991562,116.487217,39.995597,116.489552,39.998877,116.486869
40.005438,116.481502,40.001402,116.479167,39.998122,116.481851,39.998877,116.486869,40.002913,116.489205,40.006193,116.486522
40.007964,116.473798,40.003927,116.471463,40.000647,116.474147,40.001402,116.479167,40.005438,116.481502,40.008719,116.478818
